AllocationNativeID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,SiteName,SiteTypeCV,Latitude,Longitude
100066,,,,,,,,,,ADL,JUNEAU CITY AND BOR,,,12/31,01/01,,1664.624858688,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S274,AKDRN_Water Allocation,,AKwr_WS273,,,,
101686,,,,,,,,,,ADL,SITKA CITY AND BOR,,,12/31,01/01,,3920.506975,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S276,AKDRN_Water Allocation,,AKwr_WS275,,,,
11329,,,,,,,,,,LAS,CITY OF KASAAN,,,12/31,01/01,,23.74707082,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S50,AKDRN_Water Allocation,,AKwr_WS47,,,,
1145,,,,,,,,,,LAS,KODIAK CITY OF,,,12/31,01/01,,186.69080731037,Water Supply,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S5,AKDRN_Water Allocation,,AKwr_WS5,,,,
11465,,,,,,,,,,LAS,THORNE BAY CITY OF,,,12/31,01/01,,112.014485,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S52,AKDRN_Water Allocation,,AKwr_WS49,,,,
11795,,,,,,,,,,LAS,SAND POINT  CITY OF,,,12/31,01/01,,145.6188305,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S55,AKDRN_Water Allocation,,AKwr_WS52,,,,
11813,,,,,,,,,,LAS,ALYESKA PIPELINE SERVICE COMPANY,,,12/31,01/01,,95.21008423586001,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S56,AKDRN_Water Allocation,,AKwr_WS53,,,,
12169,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,5.110002601220001,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S60,AKDRN_Water Allocation,,AKwr_WS57,,,,
12172,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,5.370002030909999,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S61,AKDRN_Water Allocation,,AKwr_WS58,,,,
12173,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,1.4599998663799998,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S62,AKDRN_Water Allocation,,AKwr_WS59,,,,
