AllocationNativeID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,SiteName,SiteTypeCV,Latitude,Longitude
100066,,,,,,,,,,ADL,JUNEAU CITY AND BOR,,,31-Dec,1-Jan,,1664.624859,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S274,AKDRN_Water Allocation,,AKwr_WS273,,,,
101686,,,,,,,,,,ADL,SITKA CITY AND BOR,,,31-Dec,1-Jan,,3920.506975,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S276,AKDRN_Water Allocation,,AKwr_WS275,,,,
11329,,,,,,,,,,LAS,CITY OF KASAAN,,,31-Dec,1-Jan,,23.74707082,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S50,AKDRN_Water Allocation,,AKwr_WS47,,,,
1145,,,,,,,,,,LAS,KODIAK CITY OF,,,31-Dec,1-Jan,,186.6908073,Water Supply,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S5,AKDRN_Water Allocation,,AKwr_WS5,,,,
11465,,,,,,,,,,LAS,THORNE BAY CITY OF,,,31-Dec,1-Jan,,112.014485,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S52,AKDRN_Water Allocation,,AKwr_WS49,,,,
11795,,,,,,,,,,LAS,SAND POINT  CITY OF,,,31-Dec,1-Jan,,145.6188305,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S55,AKDRN_Water Allocation,,AKwr_WS52,,,,
11813,,,,,,,,,,LAS,ALYESKA PIPELINE SERVICE COMPANY,,,31-Dec,1-Jan,,95.21008424,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S56,AKDRN_Water Allocation,,AKwr_WS53,,,,
12169,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,31-Dec,1-Jan,,5.110002601,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S60,AKDRN_Water Allocation,,AKwr_WS57,,,,
12172,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,31-Dec,1-Jan,,5.370002031,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S61,AKDRN_Water Allocation,,AKwr_WS58,,,,
12173,,,,,,,,,,LAS,HILCORP NORTH SLOPE LLC,,,31-Dec,1-Jan,,1.459999866,Unspecified,,,,1/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,AKwr_S62,AKDRN_Water Allocation,,AKwr_WS59,,,,
