RightID,RightStatus,RightUse,ApplicationNumber,Location,PointOfDiversionID,PrimaryIndicator,PointofDiversionStatus,WaterDivision,FieldOffice,CarrierA,CarrierB,SourceName,ProGrant,Units,GPM,Rate,CurrentTotalAcres,CountyName,NRDName,HUC12,PriorityDate,BeneficialDate,ApprovalDate,IrrigationProject,Notice_Status,Notice_EffectiveDate,Notice_Type,Reason_AdminAction,HUC_12,Longitude,Latitude,BeneficialUseCategory,AllocationFlow_CFS,AllocationVolume_AF
2472,Active    ,SO,A-16395, S34-T1-R2W,10443,1,1,1C,,Pump,,Mumm Reservoir,0.0,AF,0,,130.0,Thayer,Little Blue,102702070203,1985-06-04,1987-10-01T00:00:00,1985-07-15T00:00:00,,,,,,102702070202.99998,-97.52238040360928,40.01104071844539,Storage Use-only,,0.0
2476,Active    ,SO,A-16394, S19-T1-R1W,10442,1,1,1C,,Pump,,Bowman Spring Branch Reservoir No. 2-A,0.0,AF,0,,20.0,Thayer,Little Blue,102702070203,1985-06-04,1987-10-01T00:00:00,1985-07-15T00:00:00,,,,,,102702070202.99998,-97.46774568387094,40.03408701146336,Storage Use-only,,0.0
2478,Active    ,SO,A-13735,SWNE S2-T1-R2W,10386,7,1,1C,,Pump,,Bowman Spring Branch Reservoir No. 3-E,0.0,AF,0,,75.0,Thayer,Little Blue,102702070203,1975-08-14,,,,,,,,102702070202.99998,-97.51284800152935,40.0769791396637,Storage Use-only,,0.0
2478,Active    ,SO,A-13735,SWNE S2-T1-R2W,10387,1,1,1C,,Pump,,Bowman Spring Branch Reservoir No. 3-E,0.0,AF,0,,75.0,Thayer,Little Blue,102702070203,1975-08-14,,,,,,,,102702070202.99998,-97.51284800152935,40.0769791396637,Storage Use-only,,0.0
2510,Active    ,SO,A-11738, S18-T2-R1E,10376,1,1,1C,,Pump,,Buckley Creek Reservoir 3-C,0.0,AF,0,,314.0,Jefferson,Little Blue,102702070205,1969-06-25,,,,,,,,102702070205.00002,-97.3580235998413,40.14111982599655,Storage Use-only,,0.0
2510,Active    ,SO,A-11738, S18-T2-R1E,10377,7,1,1C,,Pump,,Buckley Creek Reservoir 3-C,0.0,AF,0,,314.0,Jefferson,Little Blue,102702070205,1969-06-25,,,,,,,,102702070205.00002,-97.3580235998413,40.14111982599655,Storage Use-only,,0.0
2510,Active    ,SO,A-11738, S18-T2-R1E,10378,7,1,1C,,Pump,,Buckley Creek Reservoir 3-C,0.0,AF,0,,314.0,Jefferson,Little Blue,102702070205,1969-06-25,,,,,,,,102702070205.00002,-97.3580235998413,40.14111982599655,Storage Use-only,,0.0
2510,Active    ,SO,A-11738, S18-T2-R1E,10379,7,1,1C,,Pump,,Buckley Creek Reservoir 3-C,0.0,AF,0,,314.0,Jefferson,Little Blue,102702070205,1969-06-25,,,,,,,,102702070205.00002,-97.3580235998413,40.14111982599655,Storage Use-only,,0.0
2512,Active    ,SO,A-16393, S30-T2-R1E,1668,1,1,1C,,Pump,,Buckley Creek Reservoir 3-A,0.0,AF,0,,63.0,Jefferson,Little Blue,102702070205,1985-06-04,1987-10-01T00:00:00,1985-07-15T00:00:00,,,,,,102702070205.00002,-97.35580381403088,40.107079474716905,Storage Use-only,,0.0
2514,Active    ,SO,A-14920, S33-T2-R1E,1631,1,1,1C,,Pump,,Buckley Creek Reservoir 3-D,0.0,AF,0,,31.0,Jefferson,Little Blue,102702070205,1977-04-28,,,,,,,,102702070205.00002,-97.31990547060526,40.09873574493956,Storage Use-only,,0.0
