AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,ReasonRemoved,index
,,,,,,,,0.0,Permit,0100-2,"C C, CRARY",1891-06-27,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,3.0
,,,,,,,,0.0,Permit,0103-2,"CHARLES D, CROFFORD",1881-10-23,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,9.0
,,,,,,,,0.0,Permit,0105-2,"TOM, CROSBY",1879-12-17,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,13.0
,,,,,,,,0.0,Permit,0106-2,"HENRY, CROWHERST",1880-05-17,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,15.0
,,,,,,,,0.0,Permit,0107-2,", CROWN HILL",1899-04-01,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,17.0
,,,,,,,,0.0,Cancelled,0108-2,"W G, CUBBERLEY",1890-01-01,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,19.0
,,,,,,,,0.0,Permit,011-2,"A S, BARNES",1892-08-08,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,23.0
,,,,,,,,0.0,Permit,0110-2,"T, DALEY",1880-06-29,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,25.0
,,,,,,,,0.0,Permit,0112-2,"JOHN, DAVIDSON",1881-10-01,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,29.0
,,,,,,,,0.0,Permit,0113-2,"ED N, DAVIS",1904-01-04,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,31.0
,,,,,,,,0.0,Permit,0114-2,"JAMES, DEMEREAU",1884-07-31,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,33.0
,,,,,,,,0.0,Permit,0115-2,"JAMES, DEMEREAU",1894-06-02,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,35.0
,,,,,,,,0.0,Cancelled,0116-2,"EVERETT, HILL",1883-01-02,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,37.0
,,,,,,,,0.0,Permit,0117-2,"WILLIAM, DIXON",1888-03-12,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,39.0
,,,,,,,,0.0,Cancelled,0118-1,"O, ERICKSON",1902-05-13,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,40.0
,,,,,,,,0.0,Cancelled,0118-2,"EVERETT, HILL",1882-01-02,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,41.0
,,,,,,,,0.0,Cancelled,0119-2,"JAMES, DOVAN",1897-05-06,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,43.0
,,,,,,,,0.0,Permit,012-2,"EDWARD D, BARTHOLD",1889-08-20,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,45.0
,,,,,,,,0.0,Permit,0120-2,"JOHN, DONIPHAN",1880-08-07,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,47.0
,,,,,,,,0.0,Permit,0121-2,"JOHN, DONIPHAN",1880-08-07,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,49.0
,,,,,,,,0.0,Cancelled,0122-1,"C R, EVANS",1902-04-29,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,50.0
,,,,,,,,0.0,Permit,0122-2,"JOHN, DONIPHAN",1880-04-08,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,51.0
,,,,,,,,0.0,Cancelled,0123-1,"C R, EVANS",1902-04-28,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,52.0
,,,,,,,,0.0,Permit,0123-2,"JOHN, DUNN",1880-03-22,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,53.0
,,,,,,,,0.0,Cancelled,0124-1,"C R, EVANS",1902-04-28,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,54.0
,,,,,,,,0.0,Cancelled,0124-2,"OAKLEY, LAMPHERE",1882-01-26,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,55.0
,,,,,,,,0.0,Cancelled,0125-1,"C R, EVANS",1902-04-29,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,56.0
,,,,,,,,0.0,Permit,0125-2,"CHARLES, DUMKE",1896-04-08,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,57.0
,,,,,,,,0.0,Cancelled,0126-1,"C R, EVANS",1902-04-28,,12/31,01/01,Unspecified,,nan,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,58.0
,,,,,,,,0.0,Permit,0126-2,"J P, DURST",1880-06-12,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,59.0
,,,,,,,,0.0,Permit,0127-1,"DAVID, EVANS",1889-06-14,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS6,Bad SiteUUID,60.0
,,,,,,,,0.0,Permit,0127-2,"SCOTT, DURST",1896-04-22,,12/31,01/01,Unspecified,,Irrigation,,,,01/19/2021,,0,,,,,SD_Water Allocation,SDDENR,,,Irrigation,,SD_Allocation All,,SDwr_WS5,Bad SiteUUID,61.0
