AllocationNativeID,MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,AllocationAmount,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationLegalStatusCV,AllocationMaximum,AllocationOwner,AllocationPriorityDate,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,PopulationServed,PowerType,PrimaryUseCategory,AllocationSDWISIdentifierCV,WaterAllocationNativeURL
A-10003,NEDNR_Water Rights,NEDNR,NE_1,NEDNR_Allocation All,NE_1,2.64,,,,,,,,,Active,,,1961-12-21,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10009,NEDNR_Water Rights,NEDNR,NE_2,NEDNR_Allocation All,NE_2,0.77,,,,,,,,,Active,,,1962-01-17,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10013,NEDNR_Water Rights,NEDNR,NE_3,NEDNR_Allocation All,NE_3,0.58,,,,,,,,,Active,,,1962-02-13,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10014,NEDNR_Water Rights,NEDNR,NE_4,NEDNR_Allocation All,NE_4,0.74,,,,,,,,,Active,,,1962-02-13,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10020,NEDNR_Water Rights,NEDNR,NE_5,NEDNR_Allocation All,NE_5,14.0,,,,,,,,,Active,,,1961-02-06,09/30,04/01,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),,,,08/27/2020,,,,,,,,Irrigation,,
A-10024,NEDNR_Water Rights,NEDNR,NE_6,NEDNR_Allocation All,NE_6,2500.0,,,,,,,,,Active,,,1962-03-01,09/30,04/01,,Storage,,,,08/27/2020,,,,,,,,Irrigation,,
A-10025,NEDNR_Water Rights,NEDNR,NE_7,NEDNR_Allocation All,NE_7,3200.0,,,,,,,,,Active,,,1962-03-01,09/30,04/01,,Storage,,,,08/27/2020,,,,,,,,Irrigation,,
A-10026,NEDNR_Water Rights,NEDNR,NE_8,NEDNR_Allocation All,NE_8,26.4,,,,,,,,,Active,,,1962-03-05,09/30,04/01,,Storage,,,,08/27/2020,,,,,,,,Irrigation,,
A-10028,NEDNR_Water Rights,NEDNR,NE_9,NEDNR_Allocation All,NE_9,0.93,,,,,,,,,Active,,,1962-03-08,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10033,NEDNR_Water Rights,NEDNR,NE_10,NEDNR_Allocation All,NE_10,0.76,,,,,,,,,Active,,,1962-03-20,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10034,NEDNR_Water Rights,NEDNR,NE_11,NEDNR_Allocation All,NE_9,0.39,,,,,,,,,Active,,,1962-03-20,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10035,NEDNR_Water Rights,NEDNR,NE_12,NEDNR_Allocation All,NE_11,0.36,,,,,,,,,Active,,,1962-03-22,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10039,NEDNR_Water Rights,NEDNR,NE_13,NEDNR_Allocation All,NE_12,0.5,,,,,,,,,Active,,,1962-04-06,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10040,NEDNR_Water Rights,NEDNR,NE_14,NEDNR_Allocation All,NE_13,0.76,,,,,,,,,Active,,,1962-04-09,09/30,04/01,,Irrigation from Natural Stream,,,,08/27/2020,,,,,,,,Irrigation,,
A-10042,NEDNR_Water Rights,NEDNR,NE_15,NEDNR_Allocation All,NE_14,44.2,,,,,,,,,Active,,,1962-04-11,09/30,04/01,,Storage,,,,08/27/2020,,,,,,,,Irrigation,,
